COD	CLASSE	AN	A1	A2	A3	A4	B1	B2	B3	B4
C137	A	5,8	7,2	5,5	6,5	1,5	0	0	0	0
C138	A	5	8,2	8,6	5,5	4,4	0	0	0	0
C139	A	5,3	5,3	6,4	6,3	7,4	0	0	0	0
C140	A	7	7,5	7,3	6	7,2	0	0	0	0
C141	RF	0					0	0	0	0
C010	RN	3,2	7,7	5,1	0	0	0	0	0	0
C010	A	7	6,6	6,1	5,3	8,9	0	0	0	0
C145	A	8,9	8,5	8,5	9,5	7,9	0	0	0	0
C146	A	8,6	8,5	6,7	9,5	9,6	0	0	0	0
C147	A	8,9	7,8	9,1	9	8,5	0	0	0	0
C148	A	8,7	8,5	8	9,3	8	0	0	0	0
C149	A	7,8	8	6	7,3	8,8	0	0	0	0
C150	A	8,3	7,4	7,1	8,7	9	0	0	0	0
C151	A	8,6	7,6	8,5	8,5	9,3	0	0	0	0
C046	A	7,1				7,1	0	0	0	0
C144	C	 					0	0	0	0
C141	A	0					0	0	0	0
C181	A	7,2	6,9	7,6			0	0	0	0
C182	C	 					0	0	0	0
C183	A	7,9	7,5	8,4			0	0	0	0
C004	A	7,7	6,8	7,4	8,8	6,8	0	0	0	0
C006	A	8	6,1	6,6	9,6	9,8	0	0	0	0
C007	A	7,4	9,1	6,5	6,8	6,2	0	0	0	0
C012	A	7,8	7,2	10	10	2,9	0	0	0	0
C053	A	8,6	9,2	7,4	7,8	10	0	0	0	0
C054	A	8,8	7,7	10			0	0	0	0
C055	A	8,6	8,2	9			0	0	0	0
C024	RN	4,1	4,1				0	0	0	0
C026	A	7,5	7,5				0	0	0	0
C004	A	7,4	7,9	6	8,5	6,2	0	0	0	0
C006	A	7,2	7,8	7,3	3,7	9,4	0	4	10	6
